latency	duration	sample	sub_block	trial	focus_modality	type	attention_status	task_role	condition	event_code	cond_code	urevent
49617	NaN	49617	1	0	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1	1
49739	NaN	49739	1	1	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1	2
49803	NaN	49803	1	2	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1	3
49806	NaN	49806	1	2	auditory	button_press	n/a	target_detected	attend_auditory	201	1	4
49980	NaN	49980	1	3	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1	5
50170	NaN	50170	1	4	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1	6
50295	NaN	50295	1	5	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1	7
50436	NaN	50436	1	6	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1	8
50502	NaN	50502	1	7	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1	9
50585	NaN	50585	1	7	auditory	button_press	n/a	target_detected	attend_auditory	201	1	10
50596	NaN	50596	1	8	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1	11
50699	NaN	50699	1	9	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1	12
50790	NaN	50790	2	9	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1	13
50870	NaN	50870	2	10	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1	14
50949	NaN	50949	2	11	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1	15
51119	NaN	51119	2	12	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1	16
51202	NaN	51202	2	13	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1	17
51381	NaN	51381	2	14	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1	18
51451	NaN	51451	2	15	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1	19
51525	NaN	51525	2	16	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1	20
